<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20120709;000000;1.5471000;1.5580000;1.5389000;1.5574000;0
20120716;000000;1.5574000;1.5738000;1.5513000;1.5606000;0
20120723;000000;1.5605000;1.5768000;1.5454000;1.5743000;0
20120730;000000;1.5734000;1.5750000;1.5486000;1.5610000;93798
20120806;000000;1.5613000;1.5701000;1.5542000;1.5668000;0
20120813;000000;1.5660000;1.5744000;1.5632000;1.5700000;0
20120820;000000;1.5698000;1.5913000;1.5675000;1.5810000;0
20120827;000000;1.5814000;1.5896000;1.5750000;1.5878000;0
20120903;000000;1.5879000;1.6034000;1.5821000;1.6024000;0
20120910;000000;1.6014000;1.6256000;1.5955000;1.6217000;0
20120917;000000;1.6216000;1.6309000;1.6159000;1.6228000;0
20120924;000000;1.6228000;1.6272000;1.6108000;1.6144000;0
20121001;000000;1.6136000;1.6217000;1.6064000;1.6125000;0
20121008;000000;1.6126000;1.6142000;1.5972000;1.6069000;0
20121015;000000;1.6069000;1.6178000;1.5994000;1.6010000;0
20121022;000000;1.6010000;1.6144000;1.5909000;1.6112000;0
20121029;000000;1.6111000;1.6175000;1.6002000;1.6007000;0
20121105;000000;1.6008000;1.6042000;1.5886000;1.5893000;0
20121112;000000;1.5893000;1.5916000;1.5821000;1.5888000;0
20121119;000000;1.5889000;1.6051000;1.5878000;1.6021000;0
20121126;000000;1.6022000;1.6062000;1.5958000;1.6006000;0
20121203;000000;1.6006000;1.6131000;1.5998000;1.6031000;0
20121210;000000;1.6032000;1.6178000;1.6010000;1.6153000;0
20121217;000000;1.6152000;1.6307000;1.6145000;1.6167000;0
20121224;000000;1.6170000;1.6207000;1.5899000;1.6165000;0
20121231;000000;1.6168000;1.6382000;1.6005000;1.6078000;0
20130107;000000;1.6076000;1.6178000;1.5989000;1.6123000;0
20130114;000000;1.6123000;1.6154000;1.5851000;1.5842000;0
20130121;000000;1.5843000;1.5893000;1.5742000;1.5763000;0
20130128;000000;1.5766000;1.5879000;1.5670000;1.5690000;0
